consensusTime,searchTime,onChainTime,seqId,roundId,comId
6.550053551s,1.247873063s,6m48.404182241s,248,0,0
6.305799679s,1.321538669s,4m51.908889303s,413,0,0
6.23187894s,1.380573664s,5m12.686357513s,381,0,0
6.025647219s,1.269952475s,2m12.983157711s,642,0,0
6.263871468s,1.013236394s,3m28.626360642s,537,0,0
6.595974204s,1.320567033s,8m25.765492259s,109,0,0
5.459940993s,1.471002326s,8m40.492589173s,83,0,0
5.790607461s,1.373042794s,2m40.46096191s,602,0,0
6.179188574s,1.12820041s,1m38.144943853s,696,0,0
7.054217423s,1.328084706s,6m27.441426207s,273,0,0
6.679541293s,1.062416213s,6m27.816382881s,272,0,0
6.897403268s,1.419220626s,1m23.872597231s,719,0,0
6.496330246s,1.084754077s,6m55.70103401s,240,0,0
6.193658158s,1.00551505s,2m53.821126405s,584,0,0
6.31125559s,1.276558962s,1m24.458829683s,720,0,0
6.498501991s,1.071707504s,4m31.260844927s,442,0,0
5.495401942s,1.391895043s,1m45.906165615s,689,0,0
6.550603208s,1.398318598s,5m32.73591571s,355,0,0
6.664094393s,1.440714485s,8m53.073598968s,66,0,0
6.371089728s,1.240911926s,7m2.710846393s,228,0,0
6.024659345s,1.023573503s,22.348847918s,808,0,0
6.596123413s,1.323096369s,7m37.498813137s,179,0,0
6.93059156s,1.416018725s,1m23.839774729s,711,0,0
6.051084995s,1.263610267s,5m39.9613927s,350,0,0
6.225732598s,1.187835s,4m45.234935093s,429,0,0
6.589251174s,1.495835834s,5m46.501351374s,339,0,0
6.41812471s,1.014340637s,3m28.475001999s,536,0,0
6.50566628s,1.324552311s,1m44.904516681s,684,0,0
6.032562355s,1.154303559s,1m31.608740088s,701,0,0
6.291471396s,1.321684101s,6m14.398259719s,294,0,0
6.893336002s,1.268401639s,2m46.254782949s,593,0,0
6.547347262s,1.408167483s,1m58.675567946s,665,0,0
6.116103057s,1.012058349s,5m19.589444724s,377,0,0
5.847450189s,1.150936166s,4m52.370388632s,415,0,0
6.061307742s,1.069047536s,1m11.075812739s,738,0,0
5.714534047s,1.05010349s,6m35.871597015s,270,0,0
6.897278022s,1.293866348s,8m32.355003625s,92,0,0
6.587204858s,1.366062585s,7m37.510751942s,172,0,0
6.525574129s,1.436957111s,5m12.401787019s,386,0,0
5.95428341s,1.267485843s,6m14.735912702s,291,0,0
5.857980745s,1.226124956s,50.239125725s,767,0,0
6.12754465s,1.230018974s,9m14.809853903s,36,0,0
6.887065652s,1.358622038s,2m5.318236741s,652,0,0
5.97144579s,1.177797804s,6m56.22937389s,232,0,0
6.986309114s,1.095820872s,4m23.703458651s,454,0,0
5.958340277s,1.090363545s,5m54.06564424s,321,0,0
5.874784536s,1.465397848s,2m47.268544243s,598,0,0
5.75811306s,1.199409802s,6m28.746794441s,279,0,0
6.597662322s,1.27808735s,3m35.206163784s,521,0,0
6.002090477s,1.113947961s,7m38.090682761s,178,0,0
6.033458694s,1.10905808s,5m12.887600444s,383,0,0
6.82429825s,1.30322976s,7m58.39962614s,146,0,0
6.438790414s,1.269576738s,1m44.970458477s,683,0,0
5.841469513s,1.030396321s,5m19.869930967s,378,0,0
6.49648479s,1.403830216s,9m7.338998144s,41,0,0
6.292738031s,1.152835571s,2m53.730063235s,585,0,0
6.745693688s,1.126499852s,3m56.013470081s,492,0,0
6.245892636s,1.348024625s,4m58.802604649s,405,0,0
5.555120484s,1.258160307s,5m40.457729324s,347,0,0
5.578243546s,1.029288347s,9m29.041936621s,12,0,0
6.371859388s,1.384713747s,6m7.371466314s,310,0,0
6.557856349s,1.417675438s,1m31.086656761s,703,0,0
6.570167565s,1.311415907s,5m19.140582933s,379,0,0
5.974965674s,1.09008394s,8m53.77100157s,62,0,0
6.751730012s,1.085656484s,4m51.468924011s,419,0,0
6.811904727s,1.402698693s,4m44.65929566s,422,0,0
6.569849589s,1.223780211s,4m24.122321562s,459,0,0
6.511590048s,1.455862861s,4m44.959642943s,426,0,0
6.403191909s,1.239687153s,35.740782502s,790,0,0
7.066478293s,1.282469678s,3m6.818208727s,569,0,0
6.041569462s,1.153728678s,1m45.365614144s,681,0,0
6.319479839s,1.301003266s,5m46.779398412s,332,0,0
6.633458946s,1.004559377s,3m0.184780665s,572,0,0
6.624861587s,1.27618034s,9m27.9956474s,18,0,0
6.715879788s,1.250922616s,2m53.307349094s,590,0,0
