committee,daon,decentruth,seenfeed
305.7945727610001,1218.6768775329997,3085.389035149,2272.4395399519994
305.91880797499994,1223.1816775259997,3096.869488681,2281.0950664869997
310.1793374499999,1227.6792164139997,3108.186724385,2289.6085483429997
312.7675864870001,1232.2984529369996,3119.172707355,2297.601118967
310.3877907900001,1237.0764545209995,3130.439105365,2305.817663360999
310.5536499979999,1241.6388155949996,3142.331825171,2314.4623713739998
314.2552283549999,1246.1109568109996,3153.991008552,2323.000666456999
317.4583177090001,1250.5006331059997,3164.9312794269995,2331.573947077999
314.8618018230001,1254.9100286789997,3176.214517266,2339.968261034999
314.8836384629999,1259.7239648079997,3187.9873684889994,2348.0544186459992
318.89090238699987,1264.3733582029995,3199.743789688,2356.810334878999
322.2002148250001,1269.0639294119997,3210.8786728049995,2365.442208184
319.2777534640001,1273.5679681869997,3222.2900636179997,2373.9624777369995
319.5788381369999,1277.9716646149998,3233.5211499829998,2382.2640235129998
323.52710522799987,1282.2921463799998,3244.6471894829992,2390.6714257829994
326.6643011990001,1286.56794682,3256.16514471,2399.1507315569997
324.0026258770001,1290.9842690839998,3267.352425386,2407.6954940159994
324.1284845639999,1295.56120711,3278.611419476,2416.553368146999
328.09334430299987,1300.135331108,3290.264887772,2424.882122642999
331.0142395040001,1304.5748590859998,3301.272814431,2433.235271175999
328.6395211990001,1309.1396982959998,3312.984918531,2441.3381416459997
328.39669756699993,1313.9505167559998,3324.379585864,2449.804169120999
332.59871363999986,1318.3121793239998,3336.296773756,2458.2465675089998
335.4764412250001,1322.9313921039998,3347.540254421,2466.731453237999
333.1689737810001,1327.2938833779997,3358.70338175,2474.855934575999
332.822890501,1331.5628872279997,3370.351808388,2483.4273529449997
337.41187736999984,1336.1413534239996,3381.59774527,2492.111435322999
339.8890251520001,1340.4372517369995,3392.772342635,2500.694669956999
337.7325371170001,1345.0222487639996,3404.193098784,2509.2134722399987
337.35474305699995,1349.3716641079995,3415.5770269550003,2517.586689259999
341.82982496699987,1353.9212317059996,3427.272026547,2526.203464836999
344.5449430890001,1358.4156405189997,3439.023137765,2535.033624864999
342.1661264960001,1363.0048790259996,3450.561423687,2543.675132498999
341.912292818,1367.4512790259996,3461.964012118,2552.041446280999
346.09978053699984,1371.8114950029997,3473.741931336,2560.334198733999
348.6117619020001,1376.2790331579995,3484.562338944,2568.941063018999
346.9996804420001,1380.7230451429998,3495.19131679,2577.602240827999
346.325113726,1385.0805945989998,3506.9478591330003,2586.062294017999
350.4712753659999,1389.4497054679998,3518.0472585730004,2594.366489619
353.1179675630001,1394.1943125459998,3529.4284447530003,2602.545138675999
351.5427235330001,1398.7575186569998,3540.5674933470004,2610.616969182999
350.609611359,1403.163115856,3551.965150191,2619.253723323999
355.01762756799985,1407.651740224,3563.1186248090003,2627.414318798999
357.6197099480001,1412.266939921,3574.392520268,2635.7133319299987
356.1297740310001,1416.679008553,3585.8257863420004,2644.020695728999
355.319181159,1421.0689520019998,3597.228168547,2652.459944071999
359.24859603599987,1425.520020194,3608.26259028,2660.615716623999
362.17215407100014,1430.025482565,3619.981005064,2668.7925822869997
360.2987889690001,1434.549029542,3631.228122467,2677.273907902
359.770940966,1439.048442775,3642.96680478,2685.6001088819994
363.3759836039999,1443.327851736,3654.009327304,2693.9927425369992
366.8110206910001,1447.866262165,3665.210330322,2702.2096446279998
364.9873422570001,1452.367882551,3676.529467603,2710.5826812539995
364.279171033,1457.007890444,3687.648555975,2719.2127246439995
