time,handled_num,q_len,comId
414286,6223,13777,0
414291,6223,13777,0
414296,6224,13776,0
414301,6225,13775,0
414306,6226,13774,0
414311,6226,13774,0
414316,6227,13773,0
414321,6227,13773,0
414326,6227,13773,0
414331,6227,13773,0
414336,6227,13773,0
414341,6227,13773,0
414346,6228,13772,0
414351,6228,13772,0
414356,6228,13772,0
414361,6229,13771,0
414366,6230,13770,0
414371,6230,13770,0
414376,6230,13770,0
414381,6230,13770,0
414386,6230,13770,0
414391,6230,13770,0
414396,6230,13770,0
414401,6230,13770,0
414406,6230,13770,0
414411,6230,13770,0
414416,6230,13770,0
414421,6230,13770,0
414426,6230,13770,0
414431,6230,13770,0
414436,6230,13770,0
414441,6230,13770,0
414446,6230,13770,0
414451,6230,13770,0
414456,6230,13770,0
414461,6230,13770,0
414466,6230,13770,0
414471,6230,13770,0
414476,6230,13770,0
414481,6230,13770,0
414486,6230,13770,0
414491,6230,13770,0
414496,6230,13770,0
414501,6230,13770,0
414506,6230,13770,0
414511,6230,13770,0
414516,6230,13770,0
414521,6230,13770,0
414526,6230,13770,0
414531,6230,13770,0
414536,6230,13770,0
414541,6230,13770,0
414546,6230,13770,0
414551,6230,13770,0
414556,6230,13770,0
414561,6230,13770,0
414566,6230,13770,0
414571,6230,13770,0
414576,6230,13770,0
414581,6230,13770,0
414586,6230,13770,0
414591,6230,13770,0
414596,6230,13770,0
414601,6230,13770,0
414606,6230,13770,0
414611,6230,13770,0
414616,6230,13770,0
414621,6230,13770,0
414626,6230,13770,0
414631,6230,13770,0
414636,6230,13770,0
414641,6230,13770,0
414646,6230,13770,0
414651,6230,13770,0
414656,6230,13770,0
414661,6230,13770,0
414666,6230,13770,0
414671,6230,13770,0
414676,6230,13770,0
414681,6230,13770,0
414686,6230,13770,0
414691,6230,13770,0
414696,6230,13770,0
414701,6230,13770,0
414706,6230,13770,0
414711,6230,13770,0
414716,6230,13770,0
414721,6230,13770,0
414726,6230,13770,0
414731,6230,13770,0
414736,6230,13770,0
414741,6230,13770,0
414746,6230,13770,0
414751,6230,13770,0
